method,repeat,ate_rmse_m,rows,duration_s,max_csv_gap_s,first_stamp,last_stamp,final_z_m,adaptive_map,source,source_sha256,evaluation
ours_no_adaptive_blind2,1,5.640907,2594,259.30139994621277,0.10312485694885254,1706584503.5708447,1706584762.8722446,0.271370437,0,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_no_adaptive_blind2/run02/runtime1.csv,5308541f775bedbb4fbb74ce73678c906cdfb31cc76602a116e9a76ba2092ad4,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_no_adaptive_blind2/run02/evaluation_runtime1
ours_no_adaptive_blind2,2,5.640907,2594,259.30139994621277,0.10312485694885254,1706584503.5708447,1706584762.8722446,0.271370437,0,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_no_adaptive_blind2/run02/runtime2.csv,5308541f775bedbb4fbb74ce73678c906cdfb31cc76602a116e9a76ba2092ad4,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_no_adaptive_blind2/run02/evaluation_runtime2
ours_no_adaptive_blind2,3,5.640907,2594,259.30139994621277,0.10312485694885254,1706584503.5708447,1706584762.8722446,0.271370437,0,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_no_adaptive_blind2/run02/runtime3.csv,5308541f775bedbb4fbb74ce73678c906cdfb31cc76602a116e9a76ba2092ad4,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_no_adaptive_blind2/run02/evaluation_runtime3
ours_adaptive_blind2,1,1.382934,2574,259.30139994621277,0.5998601913452148,1706584503.5708447,1706584762.8722446,0.053094841,1,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_adaptive_blind2/run02/runtime1.csv,7d41d549b6518f19be4c51caa97c64996cc4b817bc84d9a46bd060c0552bf522,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_adaptive_blind2/run02/evaluation_runtime1
ours_adaptive_blind2,2,1.382934,2574,259.30139994621277,0.5998601913452148,1706584503.5708447,1706584762.8722446,0.053094841,1,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_adaptive_blind2/run02/runtime2.csv,7d41d549b6518f19be4c51caa97c64996cc4b817bc84d9a46bd060c0552bf522,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_adaptive_blind2/run02/evaluation_runtime2
ours_adaptive_blind2,3,1.382934,2574,259.30139994621277,0.5998601913452148,1706584503.5708447,1706584762.8722446,0.053094841,1,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_adaptive_blind2/run02/runtime3.csv,7d41d549b6518f19be4c51caa97c64996cc4b817bc84d9a46bd060c0552bf522,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_adaptive_blind2/run02/evaluation_runtime3
