relative_s,run02_error,run03_error
0.0,0.1984555912584815,0.15955096864544974
0.09995722770690918,0.19731738032950613,0.15966460220871523
0.19986581802368164,0.19664845356749572,0.16139116491741523
0.29985809326171875,0.19626952041754125,0.16368931847616955
0.3998231887817383,0.1963904788600564,0.16274139023209466
0.49985504150390625,0.19598920780483797,0.16275087062001073
0.5999648571014404,0.19562916696132882,0.1620350174982317
0.7000732421875,0.19638521920820814,0.16148829277774773
0.8001086711883545,0.19614320008235597,0.1611265462523157
0.9000844955444336,0.19614676462743963,0.1609114373517686
1.0999629497528076,0.1956519298837339,0.15973461958986823
1.1999218463897705,0.19443022947551428,0.16085195324915713
1.2997777462005615,0.19481917938169113,0.16099105404596037
1.3996708393096924,0.19482491209268962,0.16192729970676223
1.4996399879455566,0.19475096691415836,0.16106782636314496
1.599642038345337,0.19373204700337976,0.15993762731439254
1.6997971534729004,0.19424264310897926,0.16043660175939284
1.7999029159545898,0.19517691656413916,0.16050102125887564
1.8999333381652832,0.1934278265543872,0.1609068032716825
2.1998634338378906,0.19295244454649346,0.16154557719055085
2.299978017807007,0.19404689963569713,0.16238760002704966
2.400040626525879,0.19506959256204334,0.16214034536506208
2.500049352645874,0.1948744859402559,0.16187541920573445
2.599949598312378,0.19390685097009197,0.16068164863190718
2.699836015701294,0.193869542334412,0.16084203220846646
2.8997552394866943,0.19420484922155043,0.16091321645854773
2.999717950820923,0.1943913268873997,0.16196530627814226
3.099748373031616,0.19342843923026673,0.16174801566673647
3.199890613555908,0.19363401123963744,0.16125005822356003
3.2999980449676514,0.19345741066580024,0.15988936157616854
3.399972915649414,0.19329719305259505,0.16013786365502064
3.499875545501709,0.19316903469336522,0.15997527368817768
3.599919080734253,0.1934161689754172,0.16054308601788875
3.6998438835144043,0.19289887461169197,0.16043735286208924
3.7997894287109375,0.19225227021191602,0.16121252098331365
3.8998653888702393,0.192675226435624,0.16243288153697505
3.9998977184295654,0.19271058734162413,0.16243255684327904
4.099853038787842,0.1922894158144877,0.16316883688110326
4.19970178604126,0.19194163174085246,0.1621739363946956
4.299681663513184,0.19239959101263143,0.16135958215387813
4.399841070175171,0.1926283889852124,0.16150697702409325
4.499788761138916,0.1929936954713183,0.16119068316342136
4.599804401397705,0.19290184798717605,0.1620522101874296
4.6998467445373535,0.19353898924273966,0.1625273676002175
4.799933910369873,0.1937966994194415,0.16196086580554608
4.8998754024505615,0.19282995843116088,0.1612910833595251
4.99998664855957,0.19297762624631745,0.1612320147972275
5.099826097488403,0.19230090448557985,0.1612823561417117
5.199814319610596,0.19279910438806627,0.16108046945451907
5.29988431930542,0.19281546037734146,0.1612289344327839
5.399866104125977,0.19235094317540788,0.16002793022627973
5.4998157024383545,0.1924284765551474,0.16087527755092587
5.59976863861084,0.1930693161874327,0.1612850693388727
5.699850797653198,0.19218043442412994,0.16078205944793109
5.799863576889038,0.19252635358439618,0.1606489063031645
5.899774074554443,0.19174403936139206,0.16141341264187914
5.999776840209961,0.19219497385999215,0.16190807375180075
6.099810600280762,0.19236756704523328,0.16290763465296917
6.199870824813843,0.192058054797606,0.1631603165293179
6.2998435497283936,0.19209262920571202,0.16228040831439292
6.399824857711792,0.19213242505120626,0.16130718772325972
6.499765157699585,0.1929245120456798,0.1606191233557282
6.59982442855835,0.19238911078454363,0.16011726822871547
6.699861526489258,0.19285926159794306,0.16077418947861788
6.799699068069458,0.19283704222195325,0.1605028152398435
6.899696350097656,0.1923442103959705,0.16148868595484084
6.999675989151001,0.1924388093249037,0.1620587964676822
7.099750280380249,0.1927086846721649,0.16245635274484754
7.199864625930786,0.19165353085809053,0.16267016579233418
7.299949407577515,0.1924048004982348,0.1616887807634164
7.39982533454895,0.19248418124251823,0.1616898836073049
