run,start_s,rows,gt_common_samples,error_median,residual_median,transient_frames,effective_min,novel_accepted,invalid_rejected,added,speed_max,angular_speed_max,csv_gap_max
run02,300,10,0,,0.061701482,0,1110,0,0,3866,0.20863046606579505,0.32454915225910325,0.10018777847290039
run02,301,9,0,,0.060074745,0,1146,0,0,3163,0.31513980395456503,0.05178789086105284,0.1998443603515625
run02,302,10,4,5.6608042654610635,0.061746512,0,1148,0,0,3889,0.29716496378340534,0.049592492261694605,0.10013246536254883
run02,303,10,10,5.659213248113838,0.0590788135,0,1155,0,0,4036,0.29066410523370256,0.058071073539436524,0.10002708435058594
run02,304,10,9,5.655571441459495,0.058124851500000005,0,1175,0,0,3387,0.21289390412807552,0.06020498270112675,0.1000819206237793
run02,305,10,8,5.651273192929791,0.056907490500000005,0,1125,0,0,3271,0.48821400439770923,0.05232803955357997,0.10006856918334961
run02,306,10,9,5.655785488199534,0.056914021499999995,0,1091,0,0,2550,0.21431796914259865,0.03018213953518355,0.10016274452209473
run02,307,10,9,5.651691088396125,0.0562166585,0,1097,0,0,2404,0.19062096089400515,0.03475951311560295,0.10019612312316895
run02,308,9,6,5.6555633669886145,0.057101363,0,1098,0,0,2632,0.1853038941584444,0.04407889992962684,0.19983315467834473
run02,309,8,8,5.667884349703467,0.057210494,0,1062,0,0,2261,0.328434072110092,0.04097654880248406,0.20034193992614746
run02,310,10,10,5.660845397343685,0.056892419,0,1089,0,0,2467,0.2528963615274,0.03037562525066053,0.10012960433959961
run02,311,10,9,5.657912597561421,0.0586922135,0,1082,0,0,2479,0.24083069795709125,0.02617382452199413,0.10013937950134277
run02,312,9,9,5.662461129717994,0.057199255,0,1119,0,0,2262,0.19289365346057388,0.033837066985199074,0.2000579833984375
run02,313,9,9,5.663181574794608,0.057037655,0,1127,0,0,2185,0.1884644382471411,0.040663741110383005,0.19998455047607422
run02,314,10,9,5.661527144355981,0.053494813,0,1029,0,0,2115,0.23821555427947433,0.06367629529671077,0.1000676155090332
run02,315,9,9,5.6514491889349,0.055242002,0,1080,0,0,2007,0.29494347746863786,0.02718620872285176,0.1000969409942627
run02,316,10,9,5.644331246986809,0.0568316945,0,1094,0,0,2432,0.2751759385025424,0.14093623004754594,0.19993281364440918
run02,317,10,9,5.618185223394701,0.060491721,0,1125,0,0,3813,1.0372736842594354,0.2151138450834309,0.10019063949584961
run02,318,9,7,5.603075192881252,0.057432689,0,1127,0,0,3399,2.9115145087688834,0.1649213909129247,0.1999363899230957
run02,319,10,9,5.6673006751870645,0.06390386,0,1008,0,0,4192,3.5690689542971747,0.1947964463681285,0.10017919540405273
run02,320,10,10,5.747927379965011,0.0855964985,1,1049,13,822,5670,5.787642274572738,0.24037816439743773,0.10018634796142578
run02,321,8,8,5.821745738362894,0.1329778335,3,1048,48,3467,4365,7.003178357897786,0.4433583512060131,0.2997567653656006
run02,322,9,4,6.397815634674494,0.220295278,6,824,273,7321,2889,6.042103187167947,0.5783795398300055,0.199995756149292
run02,323,9,9,5.8857843532016725,0.2497373,6,829,263,9553,3604,3.677024032830487,0.512853000941075,0.1995711326599121
run02,324,8,8,6.042830200891636,0.23965071500000001,8,757,400,12282,987,4.635906806185463,0.6574478929541465,0.2002267837524414
run02,325,9,7,5.990514270709507,0.236758952,9,592,450,14066,1144,2.1208243169867145,0.4427178369292298,0.19953703880310059
run02,326,10,10,6.012743010986968,0.32813222750000004,10,637,500,19040,1164,5.872642396087109,0.49972342463172936,0.10011506080627441
run02,327,9,9,4.6638330979530656,0.342891804,9,646,450,16063,994,5.6392350459110645,0.4681301178238316,0.1999039649963379
run02,328,7,6,5.3425425906208055,0.326923611,7,704,346,12647,827,5.712135405092473,0.43262478803850024,0.29982972145080566
run02,329,9,9,5.922808027416394,0.252042992,9,813,226,14909,980,5.6455732747541605,0.1958484358533118,0.19995856285095215
run02,330,8,8,5.794948630864345,0.276968719,8,825,251,14141,925,2.6373291564601637,0.4734681437636825,0.19997000694274902
run02,331,8,8,5.827940300091919,0.29029672149999997,8,673,360,14989,1052,3.0346004190254465,0.3979248310795629,0.29993605613708496
run02,332,9,8,6.639426812530493,0.308934895,9,735,450,18294,1243,3.7939053938617744,0.4312816038472322,0.10068631172180176
run02,333,10,10,7.0056088231272255,0.27048044,10,763,500,20150,1756,6.876755475859675,0.4140630203881734,0.2000589370727539
run02,334,9,9,7.193432081928565,0.238141318,9,912,248,17539,1497,2.9751223083899374,0.37810180605894317,0.20003008842468262
run02,335,9,9,7.230690912992765,0.219352317,9,897,190,15409,1366,3.5417879153557195,0.1416443030732621,0.19992399215698242
run02,336,8,0,,0.23247920849999998,8,971,364,15531,1430,2.901985031791901,0.5466985271128936,0.2001180648803711
run02,337,9,9,7.437241126991979,0.28781478,9,766,402,16195,1213,5.904088184511377,0.22690711904603783,0.1999979019165039
run02,338,9,9,7.506126531236248,0.283987995,9,830,450,15121,1273,8.523976880209453,0.27599032912621796,0.19986796379089355
run02,339,10,10,7.328845272467602,0.25823111649999997,10,885,373,17435,1432,5.3121689757372375,0.27514055261394604,0.10006380081176758
run02,340,8,8,7.301078648369385,0.2340288385,8,897,236,13231,1115,4.8597507953966215,0.4409352738291204,0.20058536529541016
run02,341,8,7,7.221968292709724,0.263454956,8,808,391,14190,1174,4.043892433791166,0.4843997162387257,0.1997973918914795
run02,342,6,6,7.532207136854238,0.2995486515,6,613,300,11248,804,4.389946453875645,0.7523267738787206,0.5000324249267578
run02,343,8,8,6.719330372757067,0.3050554245,8,650,400,14492,1088,4.949224081223207,1.2514220670451994,0.1996612548828125
run02,344,9,9,5.8482977327419645,0.293109135,9,735,450,16051,1425,1.8093937567048062,0.08465689433525803,0.20017504692077637
