relative_s,off1_prefix_error,off2_prefix_error,off3_prefix_error,on1_prefix_error,on2_prefix_error,on3_prefix_error
0.0,0.12900217350427517,0.13467810768493474,0.11998408821467138,0.31672314150924635,0.2239882132877146,0.18062283290472456
0.09995722770690918,0.12924703907075358,0.13515763350851548,0.11996803681424295,0.31598518657501157,0.22293291969676815,0.17818647411181548
0.19986581802368164,0.12961975372702622,0.1355264707301484,0.12033852109568965,0.3159715615446974,0.22239019966017576,0.1749028741485894
0.29985809326171875,0.13099645113360958,0.13750553098594673,0.1210825723926815,0.3161752406933622,0.22210747419444554,0.1716365574260271
0.3998231887817383,0.130045193959162,0.13630095071966114,0.12042192477831999,0.31605901953786997,0.22218735974936302,0.17289561879704246
0.5999648571014404,0.13028289031837956,0.1367451665482182,0.11990453661562527,0.31531479092971426,0.2214305278481091,0.17216111730524458
0.7000732421875,0.13026676196529977,0.13647545812367057,0.12049990185627628,0.3157866743544207,0.22213923839288452,0.1742588499722206
0.8001086711883545,0.13064752375042868,0.13708763497994722,0.12059030163920993,0.31551371481625673,0.2218919378732543,0.1741774497917994
0.9000844955444336,0.13095652336440927,0.13755049603025216,0.12104883137795257,0.3154415524059247,0.2218783221456249,0.17442685314114878
1.0999629497528076,0.13053830344677947,0.13677816546254834,0.12030876249296624,0.31484403755201124,0.22135340523984443,0.1742463419747584
1.1999218463897705,0.13131503069397332,0.137332607986568,0.12078051721655808,0.31431038019071833,0.2202242158926187,0.17128696370448052
1.3996708393096924,0.13165137821956144,0.13749803153604048,0.12049197381324289,0.3147811275454797,0.22063935846534477,0.17064361082467308
1.4996399879455566,0.13048104728362075,0.13607212375837716,0.1197481374257911,0.31439873757455244,0.22054379211509348,0.17125318454704866
1.599642038345337,0.12935476782215685,0.13483767250864084,0.11916010197117913,0.3133810580764383,0.21951744319036737,0.1707828293171918
1.7999029159545898,0.13120822873377985,0.13605140905131471,0.12061322756477313,0.31442894040990427,0.220407291357781,0.17282867161319831
1.8999333381652832,0.13293171550438662,0.13801342403671182,0.12157605539926031,0.3135317481738596,0.21887537139497698,0.16929923497718255
2.1998634338378906,0.13340907218036538,0.13953782621440655,0.12214232916134944,0.31296801137756664,0.21837743915898444,0.16656563705191132
2.299978017807007,0.13423870820714756,0.1405598199455378,0.12320042725365633,0.3139806868246133,0.2194963390289278,0.16778494219173787
2.400040626525879,0.13500966336298495,0.14154253922718965,0.123419832891765,0.3148406466980528,0.22055864740826683,0.17036729878400278
2.500049352645874,0.13575633218064023,0.1420486229254778,0.12386771200960747,0.31475338540738557,0.22040455852405444,0.1706082649300705
2.599949598312378,0.13504926017115096,0.14070970107036787,0.12298824035475298,0.31388068468427116,0.21915893502625655,0.17012244837596016
2.699836015701294,0.13592214594077726,0.14111715880564718,0.12318624436540747,0.3139625062692874,0.219252114373299,0.17010560825015433
2.8997552394866943,0.1354176554514088,0.14089766808351156,0.1230646017915329,0.31414038590444293,0.2193721875885421,0.17031500232761662
2.999717950820923,0.13524638747513676,0.14124205363424652,0.12339268789712642,0.31406895475703145,0.21963557027152056,0.16907264260883295
3.199890613555908,0.13496837780717036,0.14105933540799756,0.12236034959928706,0.31341602124357565,0.21870319412079955,0.1692467700186711
3.399972915649414,0.13384874430953111,0.14007715450862465,0.12175465569446818,0.31274548068888736,0.21802505988250898,0.16974443093095373
3.599919080734253,0.1347351796902017,0.14085978641054905,0.12309504050136244,0.3131014465539871,0.21883920886229732,0.1689648116272503
3.6998438835144043,0.13456783371706907,0.14027626222113723,0.12292232498703821,0.31278369115350707,0.21850453650927026,0.16885321512842988
3.9998977184295654,0.1345374608730273,0.14155240006751665,0.12392363809064216,0.3130271332868793,0.21878383956599784,0.16658076366229874
4.099853038787842,0.13720640492772257,0.14384376488625242,0.12505332305877748,0.3127774486878464,0.2183692389678835,0.1648778998743484
4.19970178604126,0.13728037475100796,0.14369223296668315,0.12493034174019767,0.3123444319434401,0.21801017144398052,0.1653465726683412
4.299681663513184,0.13758403566552382,0.1436660196052133,0.12489160233284673,0.3124661302448086,0.21835343889272113,0.1675743339029129
4.399841070175171,0.13715638607051983,0.14266766110739862,0.12515007030555114,0.3127686140662229,0.21873328654149599,0.16784504165564024
4.499788761138916,0.13580331025196954,0.14153274927248624,0.12412020665435815,0.3130243802868002,0.21899328608436516,0.16893452454116592
4.599804401397705,0.13653331199949972,0.14211351082377363,0.12478098619664911,0.31298259295040864,0.2189518608422196,0.1679015172766081
4.6998467445373535,0.1369876191596452,0.14258895765009202,0.1259229006602572,0.3136401672055065,0.21980594960822944,0.1684818814022508
4.799933910369873,0.1362164255976011,0.14249481656093047,0.12554521453156475,0.31386537368850204,0.21996974058178073,0.16996601933926517
4.99998664855957,0.1359091265964965,0.14322642945005665,0.12464053725530347,0.3129328043320319,0.2185832943275687,0.16872218576098047
5.099826097488403,0.13607107629971515,0.1442063975275781,0.12486081292572146,0.31239866066932476,0.2177318297294974,0.16762470693780923
5.29988431930542,0.13685316545508838,0.14334714801753665,0.12532577230893327,0.31276461637526676,0.2183594460163424,0.16874217884626108
5.399866104125977,0.1357766555287145,0.14211412457835776,0.1243116488408683,0.31208940445937866,0.21804648885571112,0.16901024500968828
5.59976863861084,0.13735313276022998,0.14364108602825337,0.12565602573610826,0.3132847413734766,0.21900678660068493,0.16965669839643627
5.699850797653198,0.13757529225263398,0.14354889921820685,0.12529971994438394,0.3124963766757696,0.21805724816758582,0.16792953428484234
