run,relative_s,prefix_aligned_error_m
control/run01,0.0,0.22512663061399685
control/run01,0.09995722770690918,0.22418762058192743
control/run01,0.19986581802368164,0.22388217131074445
control/run01,0.29985809326171875,0.2238614873223356
control/run01,0.3998231887817383,0.22384797302710574
control/run01,0.49985504150390625,0.223497445257699
control/run01,0.5999648571014404,0.22309060535913178
control/run01,0.7000732421875,0.2236733091446352
control/run01,0.8001086711883545,0.2234130440822453
control/run01,0.9000844955444336,0.22338428551039693
control/run01,1.0999629497528076,0.22280367757746908
control/run01,1.1999218463897705,0.22210351886202853
control/run01,1.2997777462005615,0.22252871315957795
control/run01,1.3996708393096924,0.22251237912563204
control/run01,1.4996399879455566,0.22217900152101713
control/run01,1.599642038345337,0.2211920899458865
control/run01,1.6997971534729004,0.2214912170529233
control/run01,1.7999029159545898,0.22233633887240517
control/run01,1.8999333381652832,0.2212551593537613
control/run01,2.299978017807007,0.2216507094921188
control/run01,2.400040626525879,0.22250534361778895
control/run01,2.500049352645874,0.2223398805164382
control/run01,2.599949598312378,0.2214973920987994
control/run01,2.8997552394866943,0.2216074287638647
control/run01,2.999717950820923,0.22157842304095451
control/run01,3.099748373031616,0.22097907153561355
control/run01,3.199890613555908,0.22091287258175463
control/run01,3.2999980449676514,0.22084441912335903
control/run01,3.399972915649414,0.22063646045011015
control/run01,3.499875545501709,0.22063007369519858
control/run01,3.599919080734253,0.22099708171285765
control/run01,3.6998438835144043,0.22068590228694504
control/run01,3.7997894287109375,0.220200633383755
control/run01,3.8998653888702393,0.22064118760441334
control/run01,3.9998977184295654,0.2206346579923994
control/run01,4.099853038787842,0.22037834395792105
control/run01,4.19970178604126,0.22001300950382288
control/run01,4.299681663513184,0.22012977457295707
control/run01,4.399841070175171,0.22043574466682472
control/run01,4.499788761138916,0.2207180886384274
control/run01,4.599804401397705,0.22061289027906714
control/run01,4.6998467445373535,0.22149607163896898
control/run01,4.799933910369873,0.2217805441175801
control/run01,4.8998754024505615,0.22070831216219147
control/run01,4.99998664855957,0.2208332227690153
control/run01,5.099826097488403,0.22045802506728526
control/run01,5.199814319610596,0.22083094732719843
control/run01,5.29988431930542,0.22077237918523104
control/run01,5.399866104125977,0.22002871151269693
control/run01,5.4998157024383545,0.2202911734977931
control/run01,5.59976863861084,0.2209485089210235
control/run01,5.699850797653198,0.22006843300435794
control/run01,5.799863576889038,0.2205198833580749
control/run01,5.899774074554443,0.21992420754305603
control/run01,5.999776840209961,0.22025422853115809
control/run01,6.099810600280762,0.22037156152544088
control/run01,6.199870824813843,0.22000883277781846
control/run01,6.2998435497283936,0.220160534758412
control/run01,6.399824857711792,0.21997737322489716
control/run01,6.499765157699585,0.2205735000811186
control/run01,6.59982442855835,0.22019548138293413
control/run01,6.699861526489258,0.2208337810292631
control/run01,6.799699068069458,0.22064839180174145
control/run01,6.999675989151001,0.22072597670488828
control/run01,7.099750280380249,0.22107338492166972
control/run01,7.199864625930786,0.22024258475966188
control/run01,7.299949407577515,0.22097349215178502
control/run01,7.39982533454895,0.2211200006929023
control/run01,7.499889850616455,0.22133628195410468
control/run01,7.5999815464019775,0.22059046315755154
control/run01,7.699847459793091,0.22027795260077926
control/run01,7.799728870391846,0.22091880399952746
control/run01,7.899606227874756,0.22019110465827807
control/run01,7.999637603759766,0.21951207204907944
control/run01,8.0997896194458,0.21957553654106618
control/run01,8.199786186218262,0.22026658119844014
control/run01,8.299793004989624,0.2203440212201083
control/run01,8.399733304977417,0.21957294796925736
control/run01,8.499871730804443,0.22044532809552309
control/run01,8.599970817565918,0.22034710049069167
control/run01,8.69989800453186,0.2207558096171295
control/run01,8.799778699874878,0.2202785418213539
control/run01,8.899642705917358,0.2204498368625757
control/run01,8.99959683418274,0.22047185274316075
control/run01,9.099761009216309,0.21954611185124343
control/run01,9.199873208999634,0.21954713626002517
control/run01,9.299945831298828,0.21986021742409495
control/run01,9.399955749511719,0.21939796191988567
control/run01,9.699662685394287,0.2200167763772142
control/run01,9.799627780914307,0.21950663599915074
control/run01,9.899675130844116,0.21952913923303144
control/run01,9.999695062637329,0.21959237348914754
control/run01,10.29965591430664,0.22000951066707994
control/run01,10.39971399307251,0.22044253275317813
control/run01,10.499729871749878,0.21963455907469237
control/run01,10.599663734436035,0.2201932307835555
control/run01,10.699598550796509,0.2202434017304255
control/run01,10.799702405929565,0.22083544482373044
control/run01,10.899750232696533,0.22033277643608137
control/run01,10.999716520309448,0.22106996542573748
control/run01,11.099898099899292,0.22003965918472787
control/run01,11.199893712997437,0.21968378477535602
control/run01,11.299728631973267,0.21951351510110406
control/run01,11.399799823760986,0.21979993733470116
control/run01,11.499737024307251,0.21940316395814138
control/run01,11.599847316741943,0.21904865339300228
control/run01,11.699813842773438,0.21884839199497594
control/run01,11.799827814102173,0.2187954563494898
control/run01,11.899780988693237,0.22083762497222467
control/run01,11.999725580215454,0.22084981659062433
control/run01,12.099613428115845,0.2207824595344478
control/run01,12.199568033218384,0.22114110032088463
control/run01,12.299691438674927,0.2206117309326173
control/run01,12.39980173110962,0.22144605121499092
control/run01,12.499927520751953,0.2216653305802901
control/run01,12.599804162979126,0.22525658693238945
control/run01,12.699775695800781,0.22323175500807946
control/run01,12.799629211425781,0.22303274256818556
control/run01,12.89949369430542,0.22236351351208716
control/run01,12.999508142471313,0.22266160718406602
control/run01,13.099588394165039,0.22161660787711154
control/run01,13.199694633483887,0.22252722156664845
control/run01,13.299685955047607,0.222637679502282
control/run01,13.399786710739136,0.22254382445342852
control/run01,13.499813795089722,0.22140019127244093
control/run01,13.599770545959473,0.2206187874928175
control/run01,13.699701070785522,0.2201988642121356
control/run01,13.799697160720825,0.22045019503147947
control/run01,13.8996422290802,0.22077739198687396
control/run01,14.199771642684937,0.2218608420087321
control/run01,14.299778938293457,0.22143349194870748
control/run01,14.399641990661621,0.22159572968790373
control/run01,14.499590396881104,0.2218385390834038
control/run01,14.599565267562866,0.22216364809970277
control/run01,14.699592351913452,0.22201499338611888
control/run01,14.799647569656372,0.22209661369284575
control/run01,14.899617910385132,0.22161075306988776
control/run01,15.099600315093994,0.22133809037788263
control/run01,15.299745798110962,0.21877135159059846
control/run01,15.399653196334839,0.21906106726816757
control/run01,15.499630212783813,0.21815534453946775
control/run01,15.599681615829468,0.21964150501912844
control/run01,15.699729204177856,0.21931499087966774
control/run01,15.799743175506592,0.21982227834948614
control/run01,15.89969277381897,0.21794462794785774
control/run01,15.999646425247192,0.21959197032470149
control/run01,16.09961771965027,0.22020783559051227
control/run01,16.199636220932007,0.22100713420426907
control/run01,16.29960584640503,0.2204962005168426
control/run01,16.399543046951294,0.22103726486829608
control/run01,16.499547958374023,0.22027343872136798
control/run01,16.59969210624695,0.21958461275109206
control/run01,16.69976258277893,0.22022080986549458
control/run01,16.799741506576538,0.21957240040549664
control/run01,16.899672508239746,0.2202838845476958
control/run01,16.9996120929718,0.22058840319164222
control/run01,17.099600076675415,0.2199287896630117
control/run01,17.199490070343018,0.2190088834131447
control/run01,17.299573183059692,0.21916947080248583
control/run01,17.399585008621216,0.21906587539899303
control/run01,17.49961757659912,0.2182697538476896
control/run01,17.599703550338745,0.21864958636657172
control/run01,17.69970726966858,0.21816822457662055
control/run01,17.799681186676025,0.21773475587624952
control/run01,17.899778604507446,0.2194542569016844
control/run01,17.99985432624817,0.2207122945112748
control/run01,18.299530029296875,0.22093967335113646
control/run01,18.39948797225952,0.22359489744510208
control/run01,18.59941029548645,0.22090129917191798
control/run01,18.699549198150635,0.2231713382191124
control/run01,18.79972004890442,0.22491446906234097
control/run01,18.89977192878723,0.22469972066730776
control/run01,18.99981689453125,0.22135736948281998
control/run01,19.0996732711792,0.2226025023789001
control/run01,19.199628591537476,0.22201632749116357
control/run01,19.299534797668457,0.2189196029046794
control/run01,19.399526119232178,0.22633846023078047
control/run01,19.499494314193726,0.2274791654717512
control/run01,19.599451065063477,0.222561238384722
control/run01,19.699461936950684,0.18731911187855607
control/run01,19.8996479511261,0.11605615369970969
control/run01,19.999706506729126,0.06932035531633086
control/run01,20.099602937698364,0.06771820922554099
control/run01,20.19963574409485,0.09606966480167524
control/run01,20.299747943878174,0.1095042040917912
control/run01,20.3996901512146,0.1315701008769507
control/run01,20.499528884887695,0.2689322316551702
control/run01,20.599475860595703,0.33501841594486925
control/run01,20.699498653411865,0.362044969965905
control/run01,20.79947519302368,0.3066051858426905
control/run01,20.89944338798523,0.19976232731527524
control/run01,20.999557495117188,0.1403557046175254
control/run01,21.099587440490723,0.12459590434812363
control/run01,21.199576377868652,0.07788537089419029
control/run01,21.299534797668457,0.09727454895204096
control/run01,21.3996524810791,0.12299525965953166
control/run01,21.499595403671265,0.13767513636693318
control/run01,21.599596977233887,0.18880998409215274
control/run01,21.699642181396484,0.14481575336347208
control/run01,21.79964518547058,0.09897929253897914
control/run01,21.899667739868164,0.09023540228765908
control/run01,21.999529600143433,0.12231058094235792
control/run01,22.19944405555725,0.22088053035661648
control/run01,22.399537801742554,0.15433506212717069
control/run01,22.499563217163086,0.19701423228574189
control/run01,22.599509954452515,0.184480186939977
control/run01,22.699573755264282,0.20392678715871462
control/run01,22.799667596817017,0.19757844271226563
control/run01,22.899715185165405,0.18625069228749364
control/run01,22.999712228775024,0.1919173319160141
control/run01,23.099605083465576,0.18417466743621555
control/run01,23.199447870254517,0.14806113049978695
control/run01,23.29928231239319,0.14760218458368485
control/run01,23.399155855178833,0.12207152372799641
control/run01,23.499242782592773,0.1486734294686828
control/run01,23.699427127838135,0.1454888508946727
control/run01,23.799606323242188,0.1604793353515846
control/run01,23.899776458740234,0.18455527830929266
control/run01,23.999773025512695,0.18883759583140713
control/run01,24.0996150970459,0.16233317574482
control/run01,24.199547052383423,0.11277633555954256
control/run01,24.299521446228027,0.08444851694207188
control/run01,24.69945192337036,0.4343627366348564
control/run01,24.799418449401855,0.38903048496281906
control/run01,25.099504947662354,0.25872212200816125
control/run01,25.199554204940796,0.23990991666214778
control/run01,25.399715423583984,0.19790476331747572
control/run01,25.49970269203186,0.17660779257719073
control/run01,25.599576711654663,0.16621660975927882
control/run01,25.699458360671997,0.0875316194102511
control/run01,25.79934000968933,0.07458082963176943
control/run01,25.899354457855225,0.08741275645088158
control/run01,25.999309062957764,0.084850985642978
control/run01,26.09937071800232,0.07134966314023106
control/run01,26.199530124664307,0.09247185381428018
control/run01,26.299649238586426,0.13616771473959186
control/run01,26.400054931640625,0.1809918528984307
control/run01,26.499935150146484,0.20961052776308908
control/run01,26.699270486831665,0.23632298508117006
control/run01,26.799049854278564,0.19179118354209965
control/run01,26.898955821990967,0.15196189428817533
control/run01,26.999131441116333,0.11476326298301869
control/run01,27.09934973716736,0.11305975711968172
control/run01,27.199429512023926,0.1417467620557959
control/run01,27.29944610595703,0.1730748020611169
control/run01,27.49966025352478,0.17867761064253562
control/run01,27.599626541137695,0.18803028911286349
control/run01,27.699527978897095,0.21389583198713893
control/run01,27.799500703811646,0.22523687436805795
control/run01,27.899266958236694,0.27144849380466707
control/run01,27.99924898147583,0.30807300317820996
control/run01,28.19944167137146,0.43034399944560503
control/run01,28.299585580825806,0.4324683433212077
control/run01,28.4994695186615,0.4327087751582502
control/run01,28.599398612976074,0.4365028545946819
control/run01,28.699405193328857,0.47329360539124765
control/run01,28.79930567741394,0.4615496597356812
control/run01,28.99912667274475,0.41129256854630597
control/run01,29.09932255744934,0.4994913971269444
control/run01,29.19953751564026,0.5266722381013449
control/run01,29.299681901931763,0.5355331616059796
control/run01,29.399636030197144,0.5007503532612061
control/run01,29.4994478225708,0.5559246755337403
control/run01,29.59929871559143,0.5542294530054239
control/run01,29.699300050735474,0.5790882087818878
control/run01,29.79922652244568,0.5920061667815818
control/run01,29.89923644065857,0.5786789684737526
control/run01,29.999393224716187,0.6305699914053575
control/run01,30.099531173706055,0.5805874724149509
control/run01,30.199617385864258,0.551724201418426
control/run01,30.299553155899048,0.5282664512311337
control/run01,30.399529933929443,0.5681100765261978
control/run01,30.499475479125977,0.5134152628933215
control/run01,30.59945297241211,0.5107268453673819
control/run01,30.79924511909485,0.5257760068721602
control/run01,30.899356365203857,0.5386485666390451
control/run01,30.999393701553345,0.550919897082955
control/run01,31.099495887756348,0.5371344795566981
control/run01,31.19951367378235,0.5092970211903476
control/run01,31.299377918243408,0.47827755853938714
control/run01,31.399521589279175,0.4660014848795511
control/run01,31.49945878982544,0.4658606268367962
control/run01,31.599422216415405,0.4781825369864521
control/run01,31.69909381866455,0.44945922330648
control/run01,31.79901885986328,0.4670828985678933
control/run01,31.8990797996521,0.532907449555184
control/run01,31.99913716316223,0.5460758129692602
control/run01,32.09938430786133,0.5376129088840224
control/run01,32.19948077201843,0.5279439529035339
control/run01,32.29956793785095,0.5235406212288821
control/run01,32.49948692321777,0.5017461257452357
control/run01,32.69933724403381,0.29772644311492114
control/run01,32.799309968948364,0.2873579557152702
control/run01,32.899178981781006,0.3107780317095188
control/run01,32.99910545349121,0.295940526572604
control/run01,33.0991313457489,0.26839782059745987
control/run01,33.299229860305786,0.37086796076672585
control/run01,33.39917540550232,0.4008298969576904
control/run01,33.49916648864746,0.22854859319639462
control/run01,33.59929084777832,0.2764860907555489
control/run01,33.69939923286438,0.3710872103698291
control/run01,33.7993438243866,0.4540117590231658
control/run01,33.89930319786072,0.411727957430727
control/run01,33.999457120895386,0.5964078472970449
control/run01,34.19918608665466,0.9150418297069828
control/run01,34.39936542510986,0.7684679867071987
control/run01,34.499348878860474,0.4982815713674956
control/run01,34.599280834198,0.37692927221208156
control/run01,34.699275970458984,0.32546511438975717
control/run01,34.89930844306946,0.30204808440405684
control/run01,35.09952521324158,0.23089069351689948
control/run01,35.2994065284729,0.22393582047993665
control/run01,35.39930510520935,0.17903999767289802
control/run01,35.499228715896606,0.18745268504594179
control/run01,35.599321603775024,0.04147175353840393
control/run01,35.69921636581421,0.09149653241105773
control/run01,35.79929780960083,0.030961284965581214
control/run01,35.899210691452026,0.14518766495608057
control/run01,36.199191093444824,0.46883988254681863
control/run01,36.29925990104675,0.5321384591187147
control/run01,36.399420738220215,0.5824547191669179
control/run01,36.4994592666626,0.5480005687029426
control/run01,36.59936261177063,0.4834819293281293
control/run01,36.699235677719116,0.4664131907484252
control/run01,36.79942870140076,0.452475648983127
control/run01,36.89931321144104,0.3916607306183168
control/run01,36.99916744232178,0.28351960810538
control/run01,37.1991925239563,0.030785595772103224
control/run01,37.29919075965881,0.07823757187167203
control/run01,37.39915609359741,0.1474752608795373
control/run01,37.49926519393921,0.21973802676633586
control/run01,37.599263429641724,0.24049003991537163
control/run01,37.6992974281311,0.29487740625924774
control/run01,37.79926085472107,0.3191173776992137
control/run01,37.899399280548096,0.3334247049251454
control/run01,37.99932813644409,0.3368576067140837
control/run01,38.099226236343384,0.3396842439157008
control/run01,38.3992121219635,0.24717510413122523
control/run01,38.49911284446716,0.16110350811248256
control/run01,38.699243783950806,0.1372853188821479
control/run01,38.79923963546753,0.13186268217477554
control/run01,38.89934229850769,0.13769101698352296
control/run01,39.1993043422699,0.20448318485298086
control/run01,39.299166440963745,0.23545203927809466
control/run01,39.39908528327942,0.22513725155999878
control/run01,39.499093532562256,0.21233832290025412
control/run01,39.59912395477295,0.20946151321890222
control/run01,39.69926428794861,0.21762025680770922
control/run01,39.899306774139404,0.21541690875313088
control/run01,39.99930214881897,0.19977294911058005
control/run01,40.09930491447449,0.15449015305891664
control/run01,40.199318408966064,0.1438906525164924
control/run01,40.29941987991333,0.13903242079502148
control/run01,40.3993034362793,0.13881118711122226
control/run01,40.499239683151245,0.12316668067172307
control/run01,40.59924101829529,0.11715650811111175
control/run01,40.79912495613098,0.15279419757463739
control/run01,40.89922785758972,0.1386922857467647
control/run01,40.999250650405884,0.1509768156854306
control/run01,41.099125146865845,0.16937210431851435
control/run01,41.19897675514221,0.16806970030638643
control/run01,41.29892563819885,0.14836694816718632
control/run01,41.39903473854065,0.16817742157689225
control/run01,41.49907636642456,0.19222588116378708
control/run01,41.599119901657104,0.1721089020227132
control/run01,41.69922995567322,0.15514280411045567
control/run01,41.9992561340332,0.1484992775089973
control/run01,42.099202156066895,0.14441216883869046
control/run01,42.19912648200989,0.13315708364448853
control/run01,42.29912614822388,0.12887948814142408
control/run01,42.399211168289185,0.11713501090133699
control/run01,42.49930810928345,0.1007202684138421
control/run01,42.59935450553894,0.09370414620853994
control/run01,42.699198961257935,0.11622624631277262
control/run01,42.79906892776489,0.12473500447957547
control/run01,42.89903950691223,0.14146414872551372
control/run01,42.99906802177429,0.14018559573337802
control/run01,43.09912943840027,0.13832899038750365
control/run01,43.19921803474426,0.13349302360590448
control/run01,43.29920935630798,0.13730171687877465
control/run01,43.39924597740173,0.12312561487201058
control/run01,43.4992618560791,0.11454784479892659
control/run01,43.59928917884827,0.10459148894530584
control/run01,43.69932985305786,0.11151937109919523
control/run01,43.79929256439209,0.11125628432612629
control/run01,43.899144649505615,0.1162885193768481
control/run01,44.09909915924072,0.10895293782572095
control/run01,44.2990517616272,0.09630538082990832
control/run01,44.39900875091553,0.09955895782447613
control/run01,44.499122858047485,0.1040437022072928
control/run01,44.599191665649414,0.10922381168123611
control/run01,44.699203968048096,0.11702830394544789
control/run01,44.799153566360474,0.11011180734105695
control/run01,44.899104595184326,0.10126445263490211
control/run01,44.999176263809204,0.10632195080516965
control/run01,45.199039459228516,0.10541983622022283
control/run01,45.29910612106323,0.0843805156146973
control/run01,45.39910173416138,0.07504480959932319
control/run01,45.499186515808105,0.07103488459672477
control/run01,45.69915056228638,0.07659091027333645
control/run01,45.89910936355591,0.09642540948647602
control/run01,45.99902153015137,0.08762607590894196
control/run01,46.09916019439697,0.09410995765117978
control/run01,46.19923973083496,0.08812041684997575
control/run01,46.29912281036377,0.06609404582208467
control/run01,46.39910650253296,0.05663954827837892
control/run01,46.59904623031616,0.04384823420642316
control/run01,46.69917321205139,0.04162998852599746
control/run01,46.79915189743042,0.04460217246877218
control/run01,46.89910435676575,0.047676063340253066
control/run01,46.999128341674805,0.04603198821739635
control/run01,47.09905552864075,0.045285155383627325
control/run01,47.1991081237793,0.050751431314862414
control/run01,47.299118518829346,0.07861609888845965
control/run01,47.79914736747742,0.12682051882779985
control/run01,47.99906611442566,0.09734538075981994
control/run01,48.19911861419678,0.10229043658354191
control/run01,48.29916214942932,0.08418575201796503
control/run01,48.499139070510864,0.09638736395036394
control/run01,48.59908628463745,0.057209092620364076
control/run01,48.99915599822998,0.0738045603024251
control/run01,49.09907054901123,0.06895382158254551
control/run01,49.19904923439026,0.05557442489645835
control/run01,49.298930644989014,0.05418939666614565
control/run01,49.39894342422485,0.06395952165477939
control/run01,49.49907827377319,0.06135688173096011
control/run01,49.59907674789429,0.07409288738374468
control/run01,49.69900918006897,0.041400173376311855
control/run01,49.89905571937561,0.05916141169538632
control/run01,50.0991997718811,0.06177119084119
control/run01,50.19917941093445,0.06481656997713332
control/run01,50.29911947250366,0.06743011275813526
control/run01,50.4990611076355,0.08942619583172613
control/run01,50.5989351272583,0.07136145336101875
control/run01,50.69899320602417,0.047608039314072495
control/run01,50.89895558357239,0.05855415720472387
control/run01,50.99901223182678,0.0558561910123694
control/run01,51.099013805389404,0.043223146604802774
control/run01,51.299038887023926,0.04027122052616279
control/run01,51.39909386634827,0.02000642638547374
control/run01,51.49910235404968,0.01297062670828614
control/run01,51.598976612091064,0.03677699160061966
control/run01,51.799004316329956,0.06161179230541031
control/run01,52.09905815124512,0.04830173219160642
control/run01,52.199023962020874,0.051492981509098916
control/run01,52.49904751777649,0.05441767644230632
control/run01,52.6991024017334,0.06546151737608548
control/run01,52.89903950691223,0.051558064295972914
control/run01,52.9990017414093,0.06941222602560757
control/run01,53.099032402038574,0.07155846570144168
control/run01,53.19887971878052,0.1113544121266494
control/run01,53.29884696006775,0.08153859891573308
control/run01,53.39884901046753,0.1107613002200538
control/run01,53.49886083602905,0.09658058393899796
control/run01,53.69901394844055,0.06956633859302538
control/run01,53.79900288581848,0.053607895203701295
control/run01,53.99902296066284,0.03947079557592461
control/run01,54.09909200668335,0.04329160702934774
control/run01,54.19915962219238,0.06154179361360453
control/run01,54.2992205619812,0.08058366144091157
control/run01,54.39913749694824,0.09738235492411432
control/run01,54.49899172782898,0.09049460170541665
control/run01,54.69884371757507,0.07145402053161888
control/run01,54.898913621902466,0.08788413792992998
control/run01,55.09891939163208,0.09967270388994157
control/run01,55.19891405105591,0.09788386244816909
control/run01,55.399033308029175,0.10516973519653891
control/run01,55.499088287353516,0.0959424866805589
control/run01,55.59906220436096,0.08836257615952993
control/run01,55.698999643325806,0.11492868034770103
control/run01,55.79887008666992,0.08338461020441595
control/run01,55.898823499679565,0.08320908981227382
control/run01,56.09900140762329,0.0930956836998191
control/run01,56.2989604473114,0.21309153330476238
control/run01,56.398900747299194,0.2510604790918457
control/run01,56.59893035888672,0.13509968370691938
control/run01,56.69888162612915,0.0567604838615746
control/run01,56.898847818374634,0.10842143639081037
control/run01,56.998732566833496,0.13622557680972175
control/run01,57.09886956214905,0.13648581278734728
control/run01,57.19893503189087,0.12666231414537
control/run01,57.29904556274414,0.13669912300226106
control/run01,57.399038553237915,0.14505692965241757
control/run01,57.49901866912842,0.15898352209816768
control/run01,57.698867321014404,0.16102021258115626
control/run01,57.798879623413086,0.15954641666414907
control/run01,57.99900245666504,0.1510888549708389
control/run01,58.09897208213806,0.16501366812381055
control/run01,58.19896340370178,0.1781942202848495
control/run01,58.39893555641174,0.18145287574777305
control/run01,58.498942136764526,0.17494013494675162
control/run01,58.598809242248535,0.18248275551765505
control/run01,58.6987042427063,0.1856119779650072
control/run01,58.79880452156067,0.2010361696785519
control/run01,58.89885640144348,0.19430416110008816
control/run01,58.99889349937439,0.18837405958876738
control/run01,59.098981618881226,0.19243990914514367
control/run01,59.19892621040344,0.20023734282570466
control/run01,59.39891982078552,0.20624890304181578
control/run01,59.498886823654175,0.2198407440382735
control/run01,59.598957777023315,0.22584378237536587
control/run01,59.798977851867676,0.20864665953540734
control/run01,59.89894938468933,0.21590297812621045
control/run01,59.99890065193176,0.21921745919484809
control/run01,60.09884190559387,0.21131758724083066
