method,trajectory_duration_s,path_length_m,path_length_abs_error_m,path_length_error_pct,max_estimated_speed_mps,ate_rmse_m,ate_mean_m,ate_median_m,ate_max_m,rpe_10m_rmse_m,rpe_10m_mean_m,rpe_10m_median_m,rpe_10m_max_m,run_status,rows,degenerate_frames,normal_frames,transient_frames,persistent_frames,condition_mean,normal_ratio_mean,map_added_mean,quality_rejected_mean,invalid_quality_rejected_mean,direction_rejected_mean
adaptive_static_current,277.7515287399292,585.7997218881387,6.626559411621997,1.1441413105688714,3.763397848904866,1.4412121996299503,1.1913632819950142,0.8538649139283137,3.4525252804199673,0.314713679274653,0.2732203170043218,0.25261648188106406,1.079834966220012,complete_static_threshold,2562,187,2363,59,140,33.73010644183567,0.22390229289149105,41.8567525370804,9.489851678376269,1.3266978922716628,0.03669008587041374
adaptive_dynamic_threshold,275.9361720085144,585.8639489307756,6.690786454258841,1.1552307475107029,4.758914712044904,1.4526640310874883,1.2094356588366162,0.8801677722601545,3.434086728158967,0.31788788691420905,0.2738896262293967,0.2484241189265006,1.3410713152939746,complete_dynamic_threshold,2502,762,1737,453,312,34.729899376645086,0.20315135381854516,40.76658673061551,13.062350119904076,11.785371702637889,2.7334132693844926
